ticker,event_date,horizon,direction,surprise_pct,stock_return,spy_return,abnormal_return,direction_correct
SYF,2024-10-16,1,long,6.57,2.698784717152434,0.008578339713562408,2.6902063774388716,True
SYF,2024-10-16,3,long,6.57,1.086760853661454,0.22839296008522006,0.8583678935762338,True
SYF,2024-10-16,5,long,6.57,-0.3803667702042641,-0.7401805484439863,0.3598137782397221,True
SYF,2024-10-16,10,long,6.57,1.992390723404643,-0.39325926015234236,2.385649983556985,True
SYF,2024-07-17,1,long,12.92,-1.530421477399575,-0.7685036155924325,-0.7619178618071426,False
SYF,2024-07-17,3,long,12.92,-2.130953375893792,-0.41119643077738366,-1.7197569451164085,False
SYF,2024-07-17,5,long,12.92,-3.3707862672438575,-2.820782002782189,-0.5500042644616686,False
SYF,2024-07-17,10,long,12.92,-1.607913893874477,-1.1006677074512177,-0.5072461864232592,False
SYF,2024-04-24,1,short,-13.57,3.9087996241887293,-0.3798970558828625,-4.288696680071593,False
SYF,2024-04-24,3,short,-13.57,4.00188020332599,0.9200385383268881,-3.0818416649991014,False
SYF,2024-04-24,5,short,-13.57,2.280152064413418,-1.001168928291485,-3.281320992704903,False
SYF,2024-04-24,10,short,-13.57,6.70868887296557,2.3307684205168036,-4.377920452448766,False
SYF,2024-01-23,1,long,24.04,0.582789168712536,0.10931698517426787,0.47347218353826814,True
SYF,2024-01-23,3,long,24.04,4.741732309617249,0.5259283293709187,4.2158039802463305,True
SYF,2024-01-23,5,long,24.04,5.1655598629670445,1.2436771509780549,3.9218827119889896,True
SYF,2024-01-23,10,long,24.04,3.424628772751869,1.8809596689977663,1.5436691037541028,True
SYF,2023-04-19,1,short,-7.13,-4.294876768885708,-0.5456998654568761,3.7491769034288316,True
SYF,2023-04-19,3,short,-7.13,-5.192299619344142,-0.3645911902969674,4.827708429047175,True
SYF,2023-04-19,5,short,-7.13,-6.602572908884237,-2.36150366681701,4.241069242067227,True
SYF,2023-04-19,10,short,-7.13,-10.488254297027082,-1.477761331065678,9.010492965961403,True
SYK,2025-10-30,1,short,-13.15,-3.4396811033536436,0.3280280610715475,3.767709164425191,True
SYK,2025-10-30,3,short,-13.15,-1.7130617167298339,-0.6751617477205074,1.0378999690093265,True
